ECED,Materials,Guide,Material,Corner,Material,,,,,,,,,,
Koshi,"6,296","1,916","3,971","2,836","1,365","2,348",,,,,,,,,
Madhesh,"4,640","1,193","1,860","1,575",693,932,,,,,,,,,
Bagmati,"5,476","1,814","3,547","3,002","1,532","2,370",,,,,,,,,
Gandaki,"3,563","1,374","2,355","1,806",963,"1,492",,,,,,,,,
Lumbini,"5,722","1,841","3,490","2,551","1,195","2,009",,,,,,,,,
Karnali,"3,384","1,173","2,075","1,577",815,"1,202",,,,,,,,,
Sudurpashchim,"4,389","1,344","2,824","2,090","1,032","1,645",,,,,,,,,
Nepal,"33,470","10,655","20,122","15,437","7,595","11,998",,,,,,,,,
New enrolment in Grade,New enrolment in Grade,,,,,,,,,,,,,,
Province,1,1 with ECED Experiences,,,,,,,,,,,,,
Girls Boys Total,Girls Boys Total,Girls Boys Total,,,,,,,,,,,,,
Koshi,"49,038 55,168 104,206","37,140 42,812 79,952",75.7 77.6 76.7,,,,,,,,,,,,
Madhesh,"89,223 105,511 194,734","66,443 79,496 145,939",74.5 75.3 74.9,,,,,,,,,,,,
Bagmati,"57,074 68,140 125,214","42,336 52,053 94,389",74.2 76.4 75.4,,,,,,,,,,,,
Gandaki,"20,393 23,974 44,367","15,540 19,185 34,725",76.2 80.0 78.3,,,,,,,,,,,,
Lumbini,"63,546 75,106 138,652","49,250 58,120 107,370",77.5 77.4 77.4,,,,,,,,,,,,
Karnali,"20,310 22,751 43,061","15,584 17,718 33,302",76.7 77.9 77.3,,,,,,,,,,,,
Sudurpashchim,"28,288 33,142 61,430","21,586 25,569 47,155",76.3 77.1 76.8,,,,,,,,,,,,
Nepal,"327,872 383,792 711,664","247,879 294,953 542,832",75.6 76.9 76.3,,,,,,,,,,,,
Community,Institutional,Religious,,,,,,,,,,,,,
Province,Total,,,,,,,,,,,,,,
No. %,No. %,No.,%,,,,,,,,,,,,
Koshi,"6,902","5,035 72.9","1,634 23.7",233,3.4,,,,,,,,,,
Madhesh,"4,913","3,108 63.3","1,444 29.4",361,7.3,,,,,,,,,,
Bagmati,"6,692","4,534 67.8","2,108 31.5",50,0.7,,,,,,,,,,
Gandaki,"3,890","3,193 82.1",643 16.5,54,1.4,,,,,,,,,,
Lumbini,"5,735","3,965 69.1","1,296 22.6",474,8.3,,,,,,,,,,
Karnali,"3,210","2,926 91.2",277 8.6,7,0.2,,,,,,,,,,
Sudurpashchim,"4,105","3,342 81.4",747 18.2,16,0.4,,,,,,,,,,
Nepal,"35,447","26,103 73.6","8,149 23.0","1,195",3.4,,,,,,,,,,
Total,Community,Institutional,Religious,,,,,,,,,,,,
Province,Upto,Upto,Basic,Upto Upto,Basic,Upto Upto,Basic,Upto Upto,Basic,,,,,,
G5,G8,G5 G8,G5 G8,G5 G8,,,,,,,,,,,
Koshi,"3,411","1,381","4,792","2,864 920","3,784",379 415,794,168 46,214,,,,,,
Madhesh,"2,509","1,088","3,597","1,709 611","2,320",458 462,920,342 15,357,,,,,,
Bagmati,"2,705",946,"3,651","2,375 734","3,109",313 198,511,17 14,31,,,,,,
Gandaki,"1,945",596,"2,541","1,793 468","2,261",132 113,245,20 15,35,,,,,,
Lumbini,"2,781","1,146","3,927","2,062 745","2,807",317 347,664,402 54,456,,,,,,
Karnali,"1,871",587,"2,458","1,748 508","2,256",118 77,195,5 2,7,,,,,,
Sudurpashchim,"2,035",904,"2,939","1,810 625","2,435",218 273,491,7 6,13,,,,,,
Nepal,"17,257","6,648","23,905","14,361 4,611","18,972","1,935 1,885","3,820",961 152,"1,113",,,,,,
Total,Community,Institutional,Religious,,,,,,,,,,,,
Province,Upto,Upto,Sec.,Upto Upto,Sec,Upto Upto,Sec,Upto Upto,Sec,,,,,,
G10,G12,G10 G12,G10 G12,G10 G12,,,,,,,,,,,
Koshi,"1,227",883,"2,110",600 651,"1,251",612 228,840,15 4,19,,,,,,
Madhesh,705,611,"1,316",335 453,788,367 157,524,3 1,4,,,,,,
Bagmati,"1,836","1,205","3,041",671 754,"1,425","1,157 440","1,597",8 11,19,,,,,,
Gandaki,706,643,"1,349",433 499,932,260 138,398,13 6,19,,,,,,
Lumbini,"1,012",796,"1,808",540 618,"1,158",462 170,632,10 8,18,,,,,,
Karnali,377,375,752,321 349,670,56 26,82,0 0,0,,,,,,
Sudurpashchim,630,536,"1,166",449 458,907,178 78,256,3 0,3,,,,,,
Nepal,"6,493","5,049","11,542","3,349 3,782","7,131","3,092 1,237","4,329",52 30,82,,,,,,
Number of Schools,CTEVT,CEHRD,,,,,,,,,,,,,
Diploma,Pre-diploma,Total,Total,Total,,,,,,,,,,,
Koshi,38,32,70,112,182,,,,,,,,,,
Madhesh,84,35,119,91,210,,,,,,,,,,
Bagmati,91,69,160,90,250,,,,,,,,,,
Gandaki,41,38,79,52,131,,,,,,,,,,
Lumbini,83,64,147,101,248,,,,,,,,,,
Karnali,81,69,150,37,187,,,,,,,,,,
Sudurpashchim,74,106,180,54,234,,,,,,,,,,
Nepal,492,413,905,537,"1,442",,,,,,,,,,
Province,Number,Percentage,,,,,,,,,,,,,
Koshi,81,19.2,,,,,,,,,,,,,
Madhesh,65,15.4,,,,,,,,,,,,,
Bagmati,69,16.4,,,,,,,,,,,,,
Gandaki,56,13.3,,,,,,,,,,,,,
Lumbini,70,16.6,,,,,,,,,,,,,
Karnali,37,8.8,,,,,,,,,,,,,
Sudurpashchim,44,10.4,,,,,,,,,,,,,
Nepal,422,100,,,,,,,,,,,,,
84,often encouraged,to,enroll,in,,,,,,,,,,,
37,29,"alternative schools, as they should",,,,,,,,,,,,,
not study in formal,schools.,For,,,,,,,,,,,,,
"this reason, open",and,adult,,,,,,,,,,,,,
Open,Open,Non Formal,Non Formal,"schools are in operation,",and,,,,,,,,,,
Educational,Educational,Adult Schools,Adult Schools,,,,,,,,,,,,
Program,Program (Basic,(Basic),(Secondary),Figure 3.1 displays the types and,,,,,,,,,,,
(Secondary),6-8),numbers of such schools,across,,,,,,,,,,,,
Province,Funded through,the Federal,Funded,through,Local,,,,,,,,,,
Government,Government,,,,,,,,,,,,,,
Koshi,333,2,,,,,,,,,,,,,
Madhesh,275,0,,,,,,,,,,,,,
Bagmati,461,2,,,,,,,,,,,,,
Gandaki,248,1,,,,,,,,,,,,,
Lumbini,329,0,,,,,,,,,,,,,
Karnali,248,0,,,,,,,,,,,,,
Sudurpashchim,257,0,,,,,,,,,,,,,
Nepal,"2,151",5,,,,,,,,,,,,,
Total,Community,Institutional,Com.,Inst.,,,,,,,,,,,
Girls,Boys,Total,Girls,Boys,Total,Girls,Boys,Total,Girls,% Girls,,,,,
Koshi,"391,559","422,635","814,194","239,936","231,776","471,712","151,623","190,859","342,482",50.9,44.3,,,,
Madhesh,"651,057","697,376","1,348,433","522,623","475,893","998,516","128,434","221,483","349,917",52.3,36.7,,,,
Bagmati,"449,114","517,391","966,505","227,866","230,783","458,649","221,248","286,608","507,856",49.7,43.6,,,,
Gandaki,"171,054","196,615","367,669","106,329","110,712","217,041","64,725","85,903","150,628",49,43,,,,
Lumbini,"458,193","506,605","964,798","323,460","311,363","634,823","134,733","195,242","329,975",51,40.8,,,,
Karnali,"175,365","179,375","354,740","154,142","147,762","301,904","21,223","31,613","52,836",51.1,40.2,,,,
Su.Pa,"259,819","270,910","530,729","200,805","178,153","378,958","59,014","92,757","151,771",53,38.9,,,,
Nepal,"2,556,161","2,790,907","5,347,068","1,775,161","1,686,442","3,461,603","781,000","1,104,465","1,885,465",51.3,41.4,,,,
Total,Community,Institutional,Comm.,Inst.,,,,,,,,,,,
Grade,Share,of,,,,,,,,,,,,,
Girls,Boys,Total,Girls,Boys,Total,Girls,Boys,Total,,,,,,,
G 1,"391,263","448,571","839,834","250,454","249,665","500,119","140,809","198,906","339,715",14.4,18,,,,
G 2,"319,790","351,846","671,636","214,422","204,703","419,125","105,368","147,143","252,511",12.1,13.4,,,,
G 3,"322,200","351,006","673,206","216,544","201,617","418,161","105,656","149,389","255,045",12.1,13.5,,,,
G 4,"319,149","349,627","668,776","216,602","204,607","421,209","102,547","145,020","247,567",12.2,13.1,,,,
G 5,"317,741","343,735","661,476","221,525","207,310","428,835","96,216","136,425","232,641",12.4,12.3,,,,
G 1-5,"1,670,143","1,844,785","3,514,928","1,119,547","10,67,902","2,187,449","550,596","776,883","1,327,479",63.2,70.4,,,,
G 6,"297,269","322,739","620,008","211,985","200,564","412,549","85,284","122,175","207,459",11.9,11,,,,
G 7,"289,006","311,092","600,098","212,654","201,360","414,014","76,352","109,732","186,084",12,9.9,,,,
G 8,"299,743","312,291","612,034","230,975","216,616","447,591","68,768","95,675","164,443",12.9,8.7,,,,
G 6-8,"886,018","946,122","1,832,140","655,614","618,540","1,274,154","230,404","327,582","557,986",36.8,29.6,,,,
Nepal,"2,556,161","2,790,907","5,347,068","1,775,161","1,686,442","3,461,603","781,000","1,104,465","1,885,465",100,100,,,,
Total,Dalit,Janajati,,,,,,,,,,,,,
Girls,Boys,Total,Girls,Boys,Total,Girls,Boys,Total,,,,,,,
G 1,"391,263","448,571","839,834","69,799","76,770","146,569","115,801","130,534","246,335",,,,,,
G 2,"319,790","351,846","671,636","58,617","61,915","120,532","94,438","103,796","198,234",,,,,,
G 3,"322,200","351,006","673,206","58,256","60,885","119,141","98,062","105,970","204,032",,,,,,
G 4,"319,149","349,627","668,776","56,949","60,013","116,962","101,099","110,076","211,175",,,,,,
G 5,"317,741","343,735","661,476","55,459","57,729","113,188","101,824","109,100","210,924",,,,,,
G 1-5,"1,670,143","1,844,785","3,514,928","299,080","317,312","616,392","511,224","559,476","1,070,700",,,,,,
G 6,"297,269","322,739","620,008","51,000","51,994","102,994","98,877","105,872","204,749",,,,,,
G 7,"289,006","311,092","600,098","47,927","48,009","95,936","97,602","103,001","200,603",,,,,,
G 8,"299,743","312,291","612,034","47,361","45,997","93,358","102,901","102,843","205,744",,,,,,
G 6-8,"886,018","946,122","1,832,140","146,288","146,000","292,288","299,380","311,716","611,096",,,,,,
Nepal,"2,556,161","2,790,907","5,347,068","445,368","463,312","908,680","810,604","871,192","1,681,796",,,,,,
Grade 1-5,Grade 6-8,Grade 1-8,,,,,,,,,,,,,
Girls Boys,Total,Girls Boys,Total,Girls Boys,Total,,,,,,,,,,
Koshi,2002 1890,3892,618 620,1238,2620 2510,5130,,,,,,,,,
Madhesh,1885 1523,3408,400 241,641,2285 1764,4049,,,,,,,,,
Bagmati,4129 4091,8220,1242 1308,2550,5371 5399,10770,,,,,,,,,
Gandaki,532 597,1129,191 222,413,723 819,1542,,,,,,,,,
Lumbini,246 238,484,68 52,120,314 290,604,,,,,,,,,
Karnali,147 126,273,52 66,118,199 192,391,,,,,,,,,
Sudurpashchim,365 390,755,122 118,240,487 508,995,,,,,,,,,
Nepal,9306 8855,18161,2693 2627,5320,11999 11482,23481,,,,,,,,,
Grade 1-5,Grade 6-8,Grade 1-8,,,,,,,,,,,,,
Girls Boys,Total,Girls Boys,Total,Girls Boys,Total,,,,,,,,,,
Koshi,"1,340 1,921","3,261",690 805,"1,495","2,030 2,726","4,756",,,,,,,,,
Madhesh,"1,473 2,043","3,516",600 877,"1,477","2,073 2,920","4,993",,,,,,,,,
Bagmati,"1,545 2,187","3,732",703 888,"1,591","2,248 3,075","5,323",,,,,,,,,
Gandaki,"735 1,012","1,747",314 483,797,"1,049 1,495","2,544",,,,,,,,,
Lumbini,"1,842 2,504","4,346","832 1,086","1,918","2,674 3,590","6,264",,,,,,,,,
Karnali,"1,081 1,308","2,389",470 544,"1,014","1,551 1,852","3,403",,,,,,,,,
udurpashchim,35,"1,133",",068",525,71,"1,096","1,460","1,704",",164",,,,,,
epal,",951","12,108","1,059","4,134",",254","9,388","13,085","17,362","0,44",,,,,,
GirlsBoys,GirlsBoys,,,,,,,,,,,,,,
Promotion Rate,Repetition Rate,Dropout Rate,,,,,,,,,,,,,
Girls Boys,Total,Girls Boys,Total,Girls Boys,Total,,,,,,,,,,
G 1,77.2 78.6,78,13.8 12.3,13,9.0 9.1,9.1,,,,,,,,,
G 2,82.6 83.0,82.8,8.7 7.9,8.3,8.7 9.1,8.9,,,,,,,,,
G 3,84.4 84.7,84.6,7.6 6.8,7.1,8.0 8.5,8.3,,,,,,,,,
G 4,84.7 84.3,84.5,7.3 7.4,7.4,8.0 8.3,8.1,,,,,,,,,
G 5,86.8 86.4,86.6,7.0 6.8,6.9,6.3 6.8,6.6,,,,,,,,,
G 1-5,82.9 83.1,83,9.1 8.4,8.7,8.0 8.4,8.2,,,,,,,,,
G 6,87.8 86.3,87,6.0 6.7,6.4,6.2 7.0,6.6,,,,,,,,,
G 7,88.3 86.6,87.4,5.4 6.0,5.7,6.3 7.4,6.9,,,,,,,,,
G 8,87.5 87.9,87.7,9.8 9.1,9.4,2.7 3.0,2.9,,,,,,,,,
G 6-8,87.9 86.9,87.4,7.1 7.3,7.2,5.0 5.8,5.4,,,,,,,,,
G 1-8,85.4 85.0,85.2,8.1 7.9,8,6.5 7.1,6.8,,,,,,,,,
GER (1-5),NER (1-5),GER (6-8),NER (6-8),,,,,,,,,,,,
Girls Boys,Total,Girls Boys,Total,Girls Boys,Total,Girls Boys,Total,,,,,,,,
Koshi,119.7 133.4,126.5,94.5 94.7,94.6,116.5 117.4,117,93.3 93.5,93.4,,,,,,,
Madhesh,123.5 133.4,128.5,94.3 94.0,94.1,113.0 111.6,112.3,93.7 93.7,93.7,,,,,,,
Bagmati,129.5 137.0,133.4,95.5 94.3,94.9,114.5 118.8,116.7,93.5 93.9,93.7,,,,,,,
Gandaki,124.1 137.7,131,95.4 95.1,95.2,116.8 118.6,117.7,93.6 92.9,93.3,,,,,,,
Lumbini,126.7 139.1,133,93.9 93.8,93.8,114.1 114.0,114,93.6 93.8,93.7,,,,,,,
Karnali,126.9 136.7,131.7,94.5 95.3,94.9,116.3 115.9,116.1,93.7 93.5,93.6,,,,,,,
Sudurpashchim,127.3 136.3,131.8,94.5 94.1,94.3,114.8 113.3,114.1,93.5 93.7,93.6,,,,,,,
Nepal,125.1 135.8,130.5,94.5 94.3,94.4,114.7 115.3,115,93.6 93.7,93.6,,,,,,,
GER (1-8),NER (1-8),Gender,Parity,,,,,,,,,,,,
Girls,Boys,Total,Girls Boys,Total,in NER,,,,,,,,,,
Koshi,118.6,127.3,123,94.0 94.3,94.1,1,,,,,,,,,
Madhesh,120.1,126,123.1,94.1 93.9,94,1,,,,,,,,,
Bagmati,123.5,129.7,126.8,94.7 94.2,94.4,1.01,,,,,,,,,
Gandaki,121.2,129.9,125.7,94.7 94.2,94.4,1.01,,,,,,,,,
Lumbini,122.2,129.7,126.1,93.8 93.8,93.8,1,,,,,,,,,
Karnali,122.9,128.6,125.7,94.2 94.6,94.4,1,,,,,,,,,
Sudurpashchim,122.3,127,124.6,94.1 94.0,94,1,,,,,,,,,
Nepal,121.3,128.1,124.8,94.2 94.0,94.1,1,,,,,,,,,
Gross Intake Rate,Net Intake Rate,,,,,,,,,,,,,,
Girls Boys,Total,Girls Boys,Total,,,,,,,,,,,,
Koshi,120.2 145.0,132.2,93.7 93.9,93.8,,,,,,,,,,,
Madhesh,111.8 157.0,132.5,93.6 93.3,93.5,,,,,,,,,,,
Bagmati,136.1 181.3,157.4,93.8 93.2,93.5,,,,,,,,,,,
Gandaki,114.0 151.4,131.5,93.5 93.8,93.6,,,,,,,,,,,
Lumbini,133.6 175.0,153.3,93.8 93.7,93.8,,,,,,,,,,,
Karnali,122.4 151.9,136.3,93.9 94.8,94.3,,,,,,,,,,,
Sudurpashchim,122.4 165.5,142.3,93.9 93.8,93.9,,,,,,,,,,,
Nepal,122.5 162.2,141.1,93.7 93.6,93.7,,,,,,,,,,,
Survival rate to Grade 5,Survival rate to Grade 8,,,,,,,,,,,,,,
Girls Boys,Total,Girls Boys,Total,,,,,,,,,,,,
Koshi,87.3 88.1,87.7,86.9 85.9,86.4,,,,,,,,,,,
Madhesh,87.9 87.7,87.8,86.9 86.0,86.4,,,,,,,,,,,
Bagmati,87.2 86.8,87,87.8 88.0,87.9,,,,,,,,,,,
Gandaki,87.5 88.2,87.9,86.3 87.1,86.7,,,,,,,,,,,
Lumbini,87.6 88.1,87.9,86.5 86.7,86.6,,,,,,,,,,,
Karnali,87.3 87.6,87.5,85.4 84.0,84.7,,,,,,,,,,,
Sudurpashchim,88.0 87.5,87.8,85.7 84.8,85.2,,,,,,,,,,,
Nepal,87.6 87.7,87.6,86.7 86.3,86.5,,,,,,,,,,,
Community,Institutional,Total,,,,,,,,,,,,,
1-5 6-8,1-5 6-8,5-Jan,8-Jun,,,,,,,,,,,,
Koshi,55.2 81.3,145.8 85.4,76.6,82.8,,,,,,,,,,,
Madhesh,194.2 231.6,185.3 87.4,191.6,172.7,,,,,,,,,,,
Bagmati,61.3 82.8,164.1 102.7,93,91.6,,,,,,,,,,,
Gandaki,39.7 62.7,161.7 94.3,59.9,71,,,,,,,,,,,
Lumbini,91.8 116.4,185.8 92.0,113.1,108.3,,,,,,,,,,,
Karnali,64.8 97.2,149.4 73.0,72.1,94.3,,,,,,,,,,,
Sudurpashchim,67.2 100.3,148.5 79.4,82,95,,,,,,,,,,,
Nepal,80.6 106.9,165.5 91.5,100,101.7,,,,,,,,,,,
5-Jan,Average,Average,rinkin,hild,,,,,,,,,,,
rovince,lectricit,Computer,Library,oilet,nterne,,,,,,,,,,
School,Building,Computer,ater,lub,,,,,,,,,,,
oshi,"3,032",2.29,",324",747,2,",915",299,76,",527",",053",,,,,
adhesh,"2,051",2.26,",324",131,3.06,",164",168,78,",432",91,,,,,
agmati,"2,392",2.12,",896",635,2.21,",632",556,86,",060",",703",,,,,
andaki,"1,813",2.33,",513",674,2.2,",314",749,35,",605",",333",,,,,
umbini,"2,464",2.4,",928",449,1.71,",640",395,61,",029",",531",,,,,
arnali,"1,753",2.25,10,242,2.18,80,196,32,",266",92,,,,,
u.Pa,"1,817",2.54,26,241,2.65,",071",146,68,",423",99,,,,,
"15,322",2.31,"0,521","3,119",2.15,",516","2,509",",03","2,34",",002",,,,,,
8.7,20.4,2.1,16.4,2.9,0.6,8.8,,,,,,,,,
8-Jan,Average,Average,Drinking,Child,,,,,,,,,,,
Province,Electricity,Computers,Library,Toilet,Internet,,,,,,,,,,
Schools,Buildings,Computers,Water,Club,,,,,,,,,,,
Koshi,966,4.31,863,710,4.98,703,382,703,871,840,,,,,
Madhesh,626,3.86,533,234,5.17,445,128,308,519,489,,,,,
Bagmati,748,3.45,685,578,6.18,568,443,612,698,665,,,,,
Gandaki,483,4.18,465,414,6.6,405,363,419,453,428,,,,,
Lumbini,799,4.49,737,549,5.41,626,380,604,736,695,,,,,
Karnali,510,3.86,288,259,4.66,290,150,351,423,273,,,,,
Sudurpashchim,631,4.6,502,402,4.12,463,194,490,559,461,,,,,
Nepal (No.),"4,763",4.12,"4,073","3,146",5.36,"3,500","2,040","3,487","4,259","3,851",,,,,
Nepal (%),85.5,66.1,73.5,42.8,73.2,89.4,80.9,,,,,,,,
5-Jan,Teachers',Child,Book,Local,Reference,,,,,,,,,,
Schools,Guide,Material,Corner,Curriculum,Curriculum,Material,,,,,,,,,
Koshi,"3,032","2,174","1,884","1,557","1,460","1,609","1,459",,,,,,,,
Madhesh,"2,051",832,640,607,365,282,368,,,,,,,,
Bagmati,"2,392","1,793","1,576","1,323","1,335","1,633","1,274",,,,,,,,
Gandaki,"1,813","1,307","1,192",950,"1,036","1,202","1,006",,,,,,,,
Lumbini,"2,464","1,680","1,457","1,242","1,113","1,450","1,085",,,,,,,,
Karnali,"1,753","1,326","1,136","1,028",838,"1,138",853,,,,,,,,
Sudurpashchim,"1,817","1,323","1,239","1,098",948,"1,367",986,,,,,,,,
Nepal (No.),"15,322","10,435","9,124","7,805","7,095","8,681","7,031",,,,,,,,
Nepal (%),68.1,59.5,50.9,46.3,56.7,45.9,,,,,,,,,
8-Jan,Teachers',hild,ook,ocal,Reference,,,,,,,,,,
Schools,Guide,ateria,orner,Curriculum,urriculum,Material,,,,,,,,,
oshi,966,680,85,41,521,77,494,,,,,,,,
adhesh,626,295,33,39,168,31,159,,,,,,,,
agmati,748,550,76,63,467,56,425,,,,,,,,
andaki,483,344,9,95,311,53,287,,,,,,,,
umbini,799,531,71,48,418,43,407,,,,,,,,
arnali,510,380,19,17,257,49,263,,,,,,,,
udurpashchi,631,436,1,79,368,19,351,,,,,,,,
epal (No.),"4,763","3,216",",794",",682","2,510",",028","2,386",,,,,,,,
epal (%),67.5,8.7,6.3,52.7,3.6,50.1,,,,,,,,,
"58.0 percent of basic (1-5) schools,",S C H O O L ' S  H U M A N  R E S O U R C E,58.0 53.7,45.1,41.3,,,,,,,,,,,
"53.7 percent of basic (1-8) schools,",S C H O O L  C A N T E E N,16.5 21.4 31.5,39,,,,,,,,,,,,
P A R E N T S,11.6 9.6,6.5,6.3,,,,,,,,,,,,
45.1 percent of secondary (1-10),O T H E R  A G E N C I E S,1.7 2.4,3.5,2.6,,,,,,,,,,,
"schools, and 41.3 percent of",O T H E R,7.0 7.8,8.3,5.7,,,,,,,,,,,
secondary (1-12) schools utilize,M O T H E R ' S  G R O U P,3.8 2.8,2.3,2.4,,,,,,,,,,,
C A T E R I N G,1.4 2.4,2.8,2.7,,,,,,,,,,,,
Basic (1-5) Schools,Basic (1-8) Schools,,,,,,,,,,,,,,
Province,Social,Financial,Social,Financial,,,,,,,,,,,
No. of schools,SIP,No. of schools,SIP,,,,,,,,,,,,
Audit,Audit,Audit,Audit,,,,,,,,,,,,
Koshi,3032,2512,2681,2594,966,849,1003,858,,,,,,,
Madhesh,2051,1136,987,1322,626,442,626,471,,,,,,,
Bagmati,2392,2102,2191,2127,748,676,748,685,,,,,,,
Gandaki,1813,1651,1666,1673,483,448,462,451,,,,,,,
Lumbini,2464,2145,2291,2211,799,721,760,731,,,,,,,
Karnali,1753,1563,1619,1558,510,460,479,457,,,,,,,
Sudurpashchim,1817,1583,1648,1577,631,564,593,557,,,,,,,
Nepal (No.),15322,12692,13083,13062,4763,4160,4247,4210,,,,,,,
82.8,85.8,85.2,87.3,89.2,88.4,,,,,,,,,,
Girls,Boys,Total,Girls,Boys,Total,,,,,,,,,,
Number,%,,,,,,,,,,,,,,
Koshi,"19,693","19,053","38,746",6,5.7,5.9,,,,,,,,,
Madhesh,"31,946","33,891","65,837",5.9,6.1,6,,,,,,,,,
Bagmati,"19,375","23,307","42,682",5.3,5.8,5.6,,,,,,,,,
Gandaki,"7,472","8,773","16,245",5.3,5.8,5.6,,,,,,,,,
Lumbini,"23,338","24,295","47,633",6.2,6.2,6.2,,,,,,,,,
Karnali,"8,300","7,490","15,790",5.8,5.4,5.6,,,,,,,,,
Sudurpashchim,"12,562","12,900","25,462",5.9,6,6,,,,,,,,,
Nepal (No.),"122,686","129,709","252,395",5.8,6,5.9,,,,,,,,,
Total,Community,Institutional,Community,Institutional,,,,,,,,,,,
Girls,Boys,Total,Girls,Boys,Total,Girls,Boys,Total,% Girls,% Girls,,,,,
Koshi,"137,507","135,510","273,017","100,954","90,548","191,502","36,553","44,962","81,515",52.7,44.8,,,,
Madhesh,"135,629","144,946","280,575","116,698","115,598","232,296","18,931","29,348","48,279",50.2,39.2,,,,
Bagmati,"190,499","211,235","401,734","100,762","91,488","192,250","89,737","119,747","209,484",52.4,42.8,,,,
Gandaki,"65,746","67,679","133,425","49,802","46,331","96,133","15,944","21,348","37,292",51.8,42.8,,,,
Lumbini,"139,473","142,001","281,474","110,310","102,395","212,705","29,163","39,606","68,769",51.9,42.4,,,,
Karnali,"64,516","63,307","127,823","61,682","59,365","121,047","2,834","3,942","6,776",51,41.8,,,,
Su.Pa,"83,593","82,099","165,692","71,562","63,631","135,193","12,031","18,468","30,499",52.9,39.4,,,,
Nepal,"816,963","846,777","1,663,740","611,770","569,356","1,181,126","205,193","277,421","482,614",51.8,42.5,,,,
Total,Community,Institutional,Comm.,Inst.,,,,,,,,,,,
Share,of,,,,,,,,,,,,,,
Grade,Girls,Boys,Total,Girls Boys,Total,Girls Boys,Total,students,,,,,,,
G 9,"245,516","258,428","503,944","188,836 181,727","370,563","56,680 76,701","133,381",31.4,27.6,,,,,,
G 10,"239,625","246,316","485,941","185,630 173,376","359,006","53,995 72,940","126,935",30.4,26.3,,,,,,
"485,141","504,744","989,885","374,466 355,103","729,569","110,675 149,641","260,316",61.8,53.9,,,,,,,
G 11,"163,446","175,441","338,887","108,753 101,924","210,677","54,693 73,517","128,210",17.8,26.6,,,,,,
G 12,"168,376","166,592","334,968","128,551 112,329","240,880","39,825 54,263","94,088",20.4,19.5,,,,,,
"331,822","342,033","673,855","237,304 214,253","451,557","94,518 127,780","222,298",38.2,46.1,,,,,,,
Nepal,"816,963","846,777","1,663,740","611,770 569,356","1,181,126","205,193 277,421","482,614",100,100,,,,,,
Total,Dalit,Janajati,,,,,,,,,,,,,
Grade,Girls,Boys,Total,Girls,Boys,Total,Girls,Boys,Total,,,,,,
G 9,"245,516","258,428","503,944","35,056","35,111","70,167","88,640","87,695","176,335",,,,,,
G 10,"239,625","246,316","485,941","32,372","31,698","64,070","85,782","80,647","166,429",,,,,,
G 9-10,"485,141","504,744","989,885","67,428","66,809","134,237","174,422","168,342","342,764",,,,,,
G 11,"163,446","175,441","338,887","18,004","18,710","36,714","57,778","54,868","112,646",,,,,,
G 12,"168,376","166,592","334,968","19,171","17,392","36,563","62,517","55,205","117,722",,,,,,
G 11-12,"331,822","342,033","673,855","37,175","36,102","73,277","120,295","110,073","230,368",,,,,,
Nepal,"816,963","846,777","1,663,740","104,603","102,911","207,514","294,717","278,415","573,132",,,,,,
Grade 9-10,Grade 11-12,Grade 9-12,,,,,,,,,,,,,
Girls Boys,Total,Girls Boys,Total,Girls Boys,Total,,,,,,,,,,
Koshi,75 55,130,323 374,697,398 429,827,,,,,,,,,
Madhesh,43 38,81,119 87,206,162 125,287,,,,,,,,,
Bagmati,106 161,267,610 777,1387,716 938,1654,,,,,,,,,
Gandaki,33 28,61,93 119,212,126 147,273,,,,,,,,,
Lumbini,10 8,18,37 36,73,47 44,91,,,,,,,,,
Karnali,7 3,10,31 30,61,38 33,71,,,,,,,,,
Sudurpashchim,13 16,29,90 80,170,103 96,199,,,,,,,,,
Nepal,287 309,596,1303 1503,2806,1590 1812,3402,,,,,,,,,
"1360 53 293 40 128 26 2246661531669
10
40
1137 52
3930
20416
243
78
4050
2
GirlsBoys","614 10 175 10625733017216230
6
7
5591617933
8
3610
41
5
GirlsBoys",,,,,,,,,,,,,,
Promotion Rate,Repetition Rate,Dropout Rate,,,,,,,,,,,,,
Girls Boys,Total,Girls Boys,Total,Girls Boys,Total,,,,,,,,,,
G 9,88.4 85.8,87.1,4.4 5.5,5,7.2 8.7,7.9,,,,,,,,,
G 10,97.6 97.6,97.6,1.3 1.2,1.2,1.1 1.2,1.2,,,,,,,,,
G 9-10,92.9 91.5,92.2,2.9 3.4,3.2,4.2 5.1,4.7,,,,,,,,,
GER (9-10),NER (9-10),GER (11-12),NER (11-12),,,,,,,,,,,,
Girls Boys,Total,Girls Boys,Total,Girls Boys,Total,Girls Boys,Total,,,,,,,,
Koshi,97.8 99.3,98.5,76.6 74.2,75.4,62.1 64.8,63.4,39.5 37.0,38.3,,,,,,,
Madhesh,96.2 99.1,97.7,84.1 80.8,82.4,39.3 56.5,46.6,23.7 30.0,26.4,,,,,,,
Bagmati,103.3 106.4,104.9,75.5 68.5,71.9,78.9 89.6,84.3,43.0 37.0,40,,,,,,,
Gandaki,98.1 100.2,99.2,75.9 69.4,72.6,61.1 61.5,61.3,43.5 42.8,43.1,,,,,,,
Lumbini,97.2 98.5,97.9,77.5 75.4,76.5,54.9 62.6,58.5,37.6 37.3,37.5,,,,,,,
