title,published_date
निर्देशन कार्यन्वयन सम्बन्धमा ( शिक्षा महाशाखा ),2024-03-12 12:11:00
पदपूर्ति समितिको सूचना,2024-03-11 14:30:00
वार्षिकोत्सव मूल समारोह सम्बन्धी सूचना,2024-03-09 09:10:00
स्वास्थ्य महाशाखाबाट प्रवाह हुने सेवा सम्बन्धी  सूचना,2024-03-08 15:38:00
सेवा प्रवाह बन्द रहने सम्बन्धी सूचना,2024-03-07 17:43:00
पदपूर्ति समितिको अन्तर्वार्ता सम्बन्धी सूचना,2024-03-07 17:42:00
Notice of second amendment (Urban Resilience and Livability Improvement Projec)t,2024-03-07 08:38:00
आर्थिक ऐन सम्बन्धमा,2024-03-02 13:37:00
आर्थिक प्रस्ताव खोल्ने सम्बन्धी सूचना (RFP No: 1/PPP/2023-24),2024-03-02 13:36:00
पोखरा महानगरपालिका पदपूर्ति समितिको सूचना (२०८०/११/१९),2024-03-02 13:02:00
पोखरा महानगरपालिका पदपूर्ति समितिको सूचना,2024-03-01 21:17:00
'घ' वर्गको ईजाजतपत्र लिएका निर्माण व्यवसायीको सम्बन्धमा सूचना |,2024-03-01 14:26:00
सुचना समबन्धमा |,2024-03-01 13:23:00
NOTICE OF INTENT  (Date of Publication 2080/11/14 ),2024-02-26 14:42:00
सूचना समबन्धमा,2024-02-26 12:59:00
Notice of First Amendment ( Design and Supervision consultant - URLIP),2024-02-16 18:27:00
"Notice of Intent of Acceptance ( Contract ID : 31 , 32 & 56 )",2024-02-16 18:20:00
आर्थिक प्रस्ताव खोल्ने सम्बन्धी सूचना ( पोखरा हाउस ),2024-02-16 18:15:00
लिखित परिक्षा संचालन सम्बन्धी सूचना ( २०८० पौष १७ गते प्रकाशित सूचना बमोजिम ),2024-02-15 18:46:00
लिखित परिक्षा संचालन सम्बन्धी सूचना ( २०८० कार्तिक २३ गते प्रकाशित सूचना बमोजिम ),2024-02-15 18:45:00
"Invitation for Expression of Interest (EOI) for Design and Construction Supervision Consultant (DCSC)of Urban Resilience and Livability Improvement Project (ULRIP), ADB",2024-02-15 15:33:00
न्युनतम रोजगारीमा संलग्न हुनुको लागि निवेदन पेश गर्ने सम्बन्धी सूचना |,2024-02-12 14:23:00
NOTICE OF INTENT OF ACCEPTANCE Date of Publication 2080/10/29 (12th Feb 2024),2024-02-12 11:52:00
वैदेशिक रोजगारीमा रहेका श्रमिकको परिवारलाई उपचार खर्च सहायता सम्बन्धी सूचना,2024-02-09 14:39:00
NOTICE OF INTENT  Date of Publication 2080/10/22 (5th February 2024),2024-02-05 12:05:00
आर्थिक प्रस्ताव खोल्ने सम्बन्धी सूचना (सूचना प्रकाशन मिति : २०८०।१०।२२),2024-02-05 12:04:00
"Invitation for Bids  IFB No: 18,24/PMC/080-81",2024-02-04 14:41:00
Invitation for Bids  IFB No: 24/PMC/080-081,2024-02-04 14:23:00
CLARIFICATION OF BIDDING DOCUMENT Clarification (No amendment has been issued only clarification)  Contract No. NP-DUDBC-395280-CW-RFB,2024-02-01 14:10:00
CLARIFICATION OFBIDDING DOCUMENT Clarification (No amendment has been issued only clarification)  Contract No. NP-DUDBC-396306-CW-RFB,2024-02-01 14:08:00
Invitation for Bids  IFB No: 23/PMC/080-81,2024-01-30 16:26:00
"Invitation for Bids  IFB No: 17,22/PMC/080-81",2024-01-30 16:26:00
DRAWING OF UPGRADATION OF SISUWA- SISHAGHAT (SISUWA - KHUDHI KHOLA SECTION) ROAD,2024-01-25 15:10:00
DRAWING OF UPGRADATION OF DOBILLA – BAGMARA – TIKLANG – BADARKOT - LAMGADHI-CHAPLANG – UPALLO PUDITAR – TALLO PUDITAR – JHIGATE  (JANAJAGRITI MAVI) TAGAREGAUDA ROAD,2024-01-25 15:05:00
"Third Amendment Notice for  Request for Bids for the Procurement of Works dated on 28th December 2023 for Upgradation of Sisuwa-Sishaghat Road, Pokhara",2024-01-25 13:28:00
पोखरा कौशी क्वीन कार्यक्रम सम्बन्धी सूचना |,2024-01-23 18:19:00
आर्थिक ऐनमा समावेश हुने राजश्व शिर्षक र दररेट विषयमा छलफल कार्यक्रम स्थगित वारे |,2024-01-23 18:03:00
"महानगरपालिका एवं वडा कार्यालय, महाशाखा, शाखाहरु बन्द गर्ने सूचना ।",2024-01-23 13:31:00
पदपूर्ति समितिको सूचना,2024-01-18 12:15:00
"Invitation for Bids ( IFB No: 17,22/PMC/080-81)",2024-01-18 11:52:00
पूर्ण छात्रवृत्तिका लागि निवेदन पेश गर्ने सम्बन्धमा,2024-01-14 07:37:00
Invitation for Bids ( IFB No: 13.1/PMC/080-81),2024-01-08 12:30:00
"Second Amendment Notice  for Request for Bids for the Procurement of Works dated on 28th December 2023 for Upgradation of Sisuwa-Sishaghat Road, Pokhara.",2024-01-08 09:58:00
आन्तरिक प्रतिस्पर्धाबाट स्थायी पदपूर्ति सम्बन्धी संशोधित सूचना,2024-01-04 14:31:00
NOTICE OF INTENT (IFB No: 10/PMC/080-81) ( 2080-09-19 ),2024-01-04 13:06:00
स्तरवृदी सम्बन्धी सूचना,2024-01-03 17:17:00
"Amendment Notice for Request for Bids for the Procurement of Works dated on 28th December 2023 for Upgradation of Sisuwa-Sishaghat Road, Pokhara",2024-01-03 10:42:00
Invitation for Bids ( IFB No: 9.1/PMC-Re/080-81),2024-01-02 16:02:00
RFB No: NP-DUDBC-396306-CW-RFB (Without Prequalification),2023-12-28 11:53:00
RFB No: NP-DUDBC-395280-CW-RFB (Two-envelope Bidding Process Without Prequalification),2023-12-28 11:52:00
आन्तरिक प्रतिस्पर्धाबाट स्थायी पदपूर्ति सम्बन्धी आवेदकको स्व:घोषणा विवरण,2023-12-27 15:20:00
Invitation for Bids ( IFB No: 18/PMC/080-81),2023-12-25 09:54:00
गै. स. स. / सामुदायिक संस्थाहरुबाट झोलुंगे पुल सम्बन्धी प्रस्ताव आव्हान,2023-12-25 09:52:00
आन्तरिक प्रतिस्पर्धाबाट स्थायी पदपूर्तिको सूचना ( २०८०/०९/०६),2023-12-22 09:13:00
लिखित परीक्षा सम्बन्धी सूचना,2023-12-21 16:33:00
बार्षिक प्रगति प्रतिवेदन २०७९-०८०,2023-12-19 13:24:00
Invitation for Bids ( IFB No: 7/PMC/080-81),2023-12-19 09:59:00
Invitation for Bids ( IFB No: 15/PMC/080-81),2023-12-19 09:58:00
Invitation for Bids ( IFB No: 16/PMC/080-81),2023-12-15 12:46:00
NOTICE OF INTENT OF ACCEPTANCE ( IFB No: 5.1/PMC/080-81),2023-12-15 12:46:00
Invitation for Bids ( IFB No: 14/PMC/080-81),2023-12-15 11:38:00
NOTICE OF INTENT OF ACCEPTANCE ( IFB No: 6.1/PMC/080-81),2023-12-15 11:32:00
नदिजन्य सामाग्री ढुवानी गर्ने व्यवसायीहरुलाई अत्यन्त जरुरी सूचना!,2023-12-12 19:54:00
आवेदन शुल्क फिर्ता सम्बन्धमा ( स्वास्थ्य महाशाखा अन्तर्गतको सूचना ),2023-12-07 11:31:00
Invitation for Bids ( IFB No: 11/PMC/080-81),2023-12-03 09:39:00
Invitations of Bids ( IFB No: 25/ PMC/080-81 ),2023-12-01 13:09:00
पराल खरिद सम्बन्धि सूचना,2023-11-27 15:52:00
Invitations For Bids ( IFB No: 10/ PMC/080-81),2023-11-24 12:47:00
लेखापरिक्षक समबन्धी सूचना ( शिक्षा महाशाखा ),2023-11-24 11:35:00
नदीजन्य सामाग्री (घाटगद्धि) बिक्री शुल्क सङ्कलन गर्न आय ठेक्का व्यवस्थापन सम्बन्धी बोलपत्र आह्वान।,2023-11-17 11:06:00
आन्तरिक प्रतिस्पर्धाबाट स्थायी पदपूर्तिको सूचना,2023-11-09 11:56:00
फिर्केखोलाको खोलाघरभित्र बनेका सँरचना हटाउने समबन्धि ३५ दिने सुचना,2023-10-27 21:43:00
कक्षा ११ र १२ को विद्यार्थीविवरण IEMIS मा अध्यावधिक गराउने सूचना,2023-09-27 15:55:00
सूचिकृत गुने सम्बन्धी सूचना (व्यवसाय प्रवर्द्धन केन्द्र),2023-09-23 20:22:00
